"importo","riduzione","cap","nabb0512","nvisit13","nvisite0512","eta13","churn"
28,"ABBONAMENTO MUSEI RIDOTTO","10139",5,3,30,66,"0"
44,"ABBONAMENTI MUSEI TORINO","10153",0,9,0,32,"1"
28,"ABBONAMENTO RIDOTTO SCONTATO","10024",0,9,0,26,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10154",3,7,8,65,"0"
49,"ABBONAMENTI MUSEI TORINO","10099",0,0,0,50,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10134",1,8,4,75,"0"
44,"OFFERTA SU QUANTITATIVO 44€","10128",1,1,1,47,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10147",6,0,10,70,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10121",7,8,40,67,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10134",1,10,3,70,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10135",0,9,0,73,"0"
44,"ABBONAMENTI MUSEI TORINO","10098",3,13,51,64,"1"
44,"ABBONAMENTI MUSEI TORINO","10100",6,7,61,46,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10125",0,10,0,80,"0"
44,"ABBONAMENTI MUSEI TORINO","10126",5,4,47,54,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10133",7,17,70,78,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10134",5,8,38,67,"0"
44,"OFFERTA SU QUANTITATIVO 44€","10147",0,1,0,61,"0"
44,"ABBONAMENTI MUSEI TORINO","10137",4,9,11,41,"0"
49,"ABBONAMENTI MUSEI TORINO","10153",0,5,0,36,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10141",8,22,140,76,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10078",1,6,12,78,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10024",0,4,0,33,"1"
0,"ABBONAMENTO MUSEI OMAGGIO","10144",6,0,31,30,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10138",0,5,0,26,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10098",4,11,32,59,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10137",0,14,0,65,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","14100",7,2,31,82,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10136",6,39,117,66,"0"
44,"ABBONAMENTI MUSEI TORINO","10139",2,2,17,51,"1"
49,"ABBONAMENTI MUSEI TORINO","12051",0,0,0,31,"1"
44,"ABBONAMENTI MUSEI TORINO","10022",0,0,0,35,"1"
44,"ABBONAMENTI MUSEI TORINO","10128",6,6,39,28,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10020",3,4,28,19,"1"
44,"ABBONAMENTI MUSEI TORINO","10134",3,0,10,49,"1"
44,"ABBONAMENTI MUSEI TORINO","10100",8,9,68,60,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10122",5,2,24,43,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10043",2,21,15,40,"0"
44,"ABBONAMENTI MUSEI TORINO","10138",3,16,45,35,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10043",0,13,0,66,"0"
